TimeStep	 Blip Population	 Blip Speed	 Blip Vision	  Predator Population	 Predator Speed	 Predator Vision
585	537	1,582284	5,67651	0	0	0
586	537	1,578307	5,682853	0	0	0
587	532	1,578258	5,686715	0	0	0
588	530	1,578617	5,685108	0	0	0
589	528	1,57793	5,682692	0	0	0
590	529	1,57892	5,683102	0	0	0
591	531	1,579388	5,683869	0	0	0
592	532	1,582067	5,677854	0	0	0
593	535	1,58131	5,671091	0	0	0
594	538	1,579975	5,677282	0	0	0
595	543	1,574422	5,672648	0	0	0
596	549	1,577993	5,660208	0	0	0
597	547	1,578155	5,657385	0	0	0
598	544	1,579535	5,649201	0	0	0
599	545	1,582051	5,646171	0	0	0
600	548	1,580791	5,665024	0	0	0
601	551	1,583064	5,662893	0	0	0
602	553	1,579996	5,658082	0	0	0
603	552	1,579143	5,650661	0	0	0
604	554	1,582305	5,648455	0	0	0
605	549	1,579839	5,639585	0	0	0
606	554	1,579156	5,642974	0	0	0
607	553	1,578282	5,644159	0	0	0
608	549	1,579491	5,638305	0	0	0
609	549	1,57934	5,635621	0	0	0
610	549	1,575256	5,628996	0	0	0
611	551	1,576773	5,627679	0	0	0
612	550	1,576769	5,623794	0	0	0
613	552	1,583597	5,61684	0	0	0
614	551	1,586965	5,613395	0	0	0
615	550	1,582847	5,612835	0	0	0
616	544	1,587493	5,624176	0	0	0
617	544	1,590255	5,62134	0	0	0
618	548	1,593384	5,622072	0	0	0
619	548	1,595016	5,624166	0	0	0
620	547	1,600434	5,62443	0	0	0
621	553	1,596885	5,621897	0	0	0
622	554	1,596239	5,619533	0	0	0
623	554	1,596178	5,618477	0	0	0
624	555	1,590188	5,605237	0	0	0
625	554	1,592488	5,59523	0	0	0
626	554	1,591303	5,587572	0	0	0
627	555	1,588788	5,602005	0	0	0
628	556	1,590155	5,601007	0	0	0
629	558	1,591503	5,598596	0	0	0
630	558	1,591372	5,595427	0	0	0
631	557	1,590025	5,591138	0	0	0
632	555	1,584157	5,587851	0	0	0
633	552	1,581978	5,580496	0	0	0
634	545	1,586026	5,579756	0	0	0
635	551	1,582773	5,582597	0	0	0
636	546	1,579593	5,586214	0	0	0
637	551	1,584799	5,586255	0	0	0
638	554	1,587727	5,589657	0	0	0
639	555	1,589952	5,586348	0	0	0
640	554	1,590785	5,575391	0	0	0
641	554	1,589832	5,577303	0	0	0
642	553	1,58867	5,57592	0	0	0
643	551	1,589169	5,558577	0	0	0
644	551	1,590423	5,566771	0	0	0
645	549	1,589271	5,573028	0	0	0
646	552	1,590141	5,569797	0	0	0
647	552	1,583045	5,558446	0	0	0
648	550	1,576191	5,561992	0	0	0
649	547	1,572944	5,559188	0	0	0
650	541	1,568313	5,566852	0	0	0
651	544	1,572733	5,544439	0	0	0
652	545	1,57377	5,554199	0	0	0
653	548	1,571622	5,560837	0	0	0
654	546	1,571977	5,560875	0	0	0
655	543	1,567709	5,563756	0	0	0
656	544	1,568962	5,566274	0	0	0
