TimeStep	 Blip Population	 Blip Speed	 Blip Vision	 Blips Born	 Blips Died	 Predator Population	 Predator Speed	 Predator Vision	 Predators Born	 Predators Died
367	220	1,76566	8,186604	4	4	6	2,723887	8,872846	0	0
368	220	1,765628	8,209156	3	3	6	2,723887	8,872846	0	0
369	217	1,770372	8,229217	3	6	6	2,723887	8,872846	0	0
370	217	1,772627	8,223312	5	5	6	2,723887	8,872846	0	0
371	212	1,774199	8,21032	1	6	6	2,723887	8,872846	0	0
372	215	1,781392	8,190447	6	3	6	2,723887	8,872846	0	0
373	214	1,777793	8,179419	3	4	6	2,723887	8,872846	0	0
374	214	1,786958	8,169097	3	3	6	2,723887	8,872846	0	0
375	213	1,785491	8,131207	4	5	6	2,723887	8,872846	0	0
376	210	1,787269	8,110718	2	5	6	2,723887	8,872846	0	0
377	217	1,787321	8,130782	9	2	6	2,723887	8,872846	0	0
378	216	1,783949	8,164782	6	7	6	2,723887	8,872846	0	0
379	216	1,786113	8,175746	2	2	6	2,723887	8,872846	0	0
380	219	1,781491	8,205823	10	7	6	2,723887	8,872846	0	0
381	217	1,786939	8,215489	3	5	6	2,723887	8,872846	0	0
382	218	1,789791	8,171855	5	4	6	2,723887	8,872846	0	0
383	217	1,796687	8,164968	3	4	6	2,723887	8,872846	0	0
384	220	1,799131	8,115573	7	4	6	2,723887	8,872846	0	0
385	222	1,799024	8,079869	6	4	6	2,723887	8,872846	0	0
386	222	1,797123	8,059972	3	3	6	2,723887	8,872846	0	0
387	223	1,803388	8,062707	6	5	6	2,723887	8,872846	0	0
388	217	1,809498	8,091949	3	9	6	2,723887	8,872846	0	0
389	217	1,81225	8,103021	3	3	6	2,723887	8,872846	0	0
390	218	1,811641	8,088733	4	3	6	2,723887	8,872846	0	0
391	215	1,813425	8,072257	4	7	6	2,723887	8,872846	0	0
392	213	1,810689	8,054427	1	3	6	2,723887	8,872846	0	0
393	215	1,805986	8,035533	6	4	6	2,723887	8,872846	0	0
394	218	1,803624	8,034946	4	1	6	2,723887	8,872846	0	0
395	216	1,808062	8,026502	4	6	6	2,723887	8,872846	0	0
396	219	1,808169	7,99906	4	1	6	2,723887	8,872846	0	0
